suburb|price|unit_price|unit_percentage|income|remuneration|multiplier|agreement_term|agreement_remain|agreement_age|total_unit|wage_per_unit|owner_occupy|letting|income_per_letting|look_ups|outside_agents|manager_bed|manager_bathroom|manager_car|office|office_hour|agency|agent|complex_feature|url|title|description|unit_feature|pets|last_update|property_id|crawl_date
Albion|1460000|565000|0.39|172000|113166|5.2|25|20|0||0|0|28|0|0|0|2|2|1|1| | Shine Realty|Celine Tseng|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Albion-QLD-3878399|"Solid salary income! Vendor must sell!
              "|This is a stylish and beautifully-maintained complex in an excellent location a stone's throw from the Brisbane River. It's perfectly positioned in the heart of Albion and located in a top rental area. At only 4km from the Brisbane CBD, it's close to shops and retail, schools and supermarkets. This well-manicured complex has a solid salary income over 65% of net profit. Featuring a big potential for growth, it combines both a healthy income and leisurely lifestyle with the inner city suburb experience. Call our hotline today for more information or book your inspection. |" 
                       "|Yes| 1 month ago.|3878399|2018-08-22
Bulimba|2123000|1078000|0.51|205000|138000|5.1|25|23|7|97|1422.68|54|30|2233.33|0|13|3|2|2|1| No set office hours||Brydon Halliday|" Resident exclusive amenities include 20m lap pool, pool side Barbeques, sun lounge area, gym, and visitor car parking. Beyond the complex, enjoy an easy stroll and the convenience to City Cat terminal, shopping, dining, parks, play grounds, sporting clubs and schools.Security video cameras located on all access areas with a master key system.Buildings are 3 storey walk up, with easy to maintain established quality gardens and grounds.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3877933|"Quality, Style, Location, Opportunity
              "|Management Rights are rarely sold in the prestigious suburb of Bulimba, and with a restricted number available this is definitely an opportunity to consider. |" Managers residence is a beautifully appointed Apartment. 3 bedrooms, 2 bathrooms, Ducted Air Conditioning, SMEG appliances, Stone bench tops, Large balcony, 2 car parks, privacy screens, Freshly Painted, Separate connecting office.This Apartment also features a front courtyard with street access for convenience.This well-appointed inner city apartment offers plenty of character charm with a great lifestyle hub in your backyard, it is everything you would expect from a premier suburb. The open plan design with high ceilings offers light filled interiors, centrally located kitchen, heaps of storage and a range of quality appliances. Living and entertaining areas ideal for year round entertaining including a large balcony.This stylishly appointed apartment is a private sanctuary with a good area of internal living space, a spacious open balcony, providing suburban home like space without the upkeep. Seamlessly transitioning through floor to ceiling sliding glass doors, the lounge opens onto the huge balcony.With built in benchs as you entertain with friends and family all season round.Three generously sized bedrooms are included in this property, both with built-in wardrobes, white plantation shutters and the master inclusive of a well appointed ensuite. This Apartment also offers secure parking side by side for two vehicles. Additionally there are 2 extra store rooms included.There is also lift access and intercom system. This complex is pet friendly and a short stroll to nearby Bulimba River Park with off leash dog area. Picturesque Bulimba is an outstanding postcode and offers the complete package. Bustling Oxford Street is close at hand, City Cat and bus services are within walking distance with services to the CBD.
                       "|Yes| 2 months ago.|3877933|2018-08-22
BARDON|1848800|650000|0.35|222000|102539|5.4|25|24|0|108|949.44|60|41|2913.68|0|0|2|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BARDON-QLD-3878261|"Near New at Bardon
              "|The developer has just finished this complex two stage, two Body Corporates, 23 and 24 years to run on agreements. All the hard work has been done|" 
                       "|Yes| 3 months ago.|3878261|2018-08-22
Keperra|0|630000||279234|103639|1.7|25|24|2017||0|0|79|0|0|0|3|2|2|1| NONE| SIRE Management Rights|Richard  and Jessica|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Keperra-QLD-3877286|"Not required to live onsite!
              "|- Easy to run business|" - Optional to purchase managers unit- Not required to live onsite - 3 beds, 2.5 baths, DLUG, private courtyard- Office on title
                       "|Yes| 4 months ago.|3877286|2018-08-22
THORNLANDS|650000|0|0|162000|59000|4|25|25|0|59|1000|4|55|1872.73|0|0|0|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/THORNLANDS-QLD-3877633|"OTP Thornlands
              "|No unit to buy but one is available if you wish to purchase. Do not have to live on site unless you want to No office hours. No office. Storage shed All equipment to be purchased by buyer.|" 
                       "|Yes| 3 months ago.|3877633|2018-08-22
Wynnum West|930000|470000|0.51|95000|65000|4.8|25|22|18|40|1625|24|15|2000|0|1|3|2|2|1| none stated| Property Bridge|Bobo Qi|" Gated Townhouse Complex, Pool
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/WynnumWest-QLD-3879557|"Lifestyle on the Bay
              "|This beautiful boutique bayside gated townhouse complex is five minutes away from the convenience of Wynnum Plaza and the waterfront.  |" Townhouse, Large back yard, 3 Bedroom, Spacious
                       "|Yes| 2 months ago.|3879557|2018-08-22
Wynnum West|1123800|499000|0.44|153000|96707|4.1|25|15|15|18|5372.61|0|18|3127.39|0|0|3|2|1|1| Nil Listed||Tony Hajjar|" Secure Storage Shed and Hardstand Boat/Caravan Storage. Latest digital CCTV surveillance.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/WynnumWest-QLD-3879883|"Relax and work from Home
              "|Bayside location. RELAX and work from home. ENJOY the comforts of living in a house not a townhouse or apartment. Single Level. No steps or elevators. Your own backyard, patio and courtyard. Child, grandchild and pet friendly.|" Spacious 3 bedroom house on large level , landscaped private back yard.
                       "|Yes| 1 week ago.|3879883|2018-08-22
Sherwood|625|0|0|116090|62693|5.4|25|23|2||0|0|32|0|0|0|0|0|0|0| NONE| SIRE Management Rights|Richard  Jessica|" - New complex with minimal work- Low maintenance
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Sherwood-QLD-3878565|"No Unit To Buy, Not Required To Live Onsite - Nice
              "|- Excellent add-on business with no unit to buy|" No managers unit to buy - business only
                       "|No| 3 months ago.|3878565|2018-08-22
MCDOWALL|675000|470000|0.7|62594|50380|3.3|25|2|0|38|1325.79|19|9|1357.11|0|0|3|0|0|1| | Raas Group|Peter Sagner|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/MCDOWALL-QLD-3879470|"Caretaker absolutely must retire!
              "|An ideal one person business.  With 79% of the income securely derived from the caretaking salary.  There is room to grow the letting income by capturing the rentals held by outside agents.|" 
                       "|Yes| 3 months ago.|3879470|2018-08-22
SUNNYBANK|700000|580000|0.83|41000|20735|2.9|25|17|0|13|1595|4|8|2533.12|0|0|3|0|0|1| | Raas Group|Jim Prentice|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SUNNYBANK-QLD-3877404|"BEAUT HOME WITH SMALL MANAGEMENT RIGHTS BUSINESS IN SUNNYBANK
              "|A little gem of a complex located in a prime location in central Sunnybank is looking for a new Manager.|" 
                       "|No| 3 months ago.|3877404|2018-08-22
